CUS_CUST_ID_BUY,SPENT_ML,RECENCY_ML,FREQUENCY_ML
353942903,4.48,2019-01-09,1
223099253,37.24,2019-05-13,2
36346883,307.16,2019-05-31,9
10421890,157.34,2019-05-15,6
137395110,5.94,2019-04-22,1
76163426,141.36,2019-04-23,3
97613460,135.94,2019-04-28,3
21322901,277.87,2019-03-29,5
131222695,207.22,2019-05-30,9
19054175,978.66,2019-05-27,10
41255304,46.15,2019-05-29,2
113761519,372.81,2019-02-18,3
77835838,702.28,2019-04-15,9
91605271,631.04,2019-05-14,4
110152057,2.28,2019-05-13,1
96834169,162.66,2019-03-19,2
103623729,281.92,2019-05-15,2
416543423,2.43,2019-04-26,1
175382755,58.28,2019-05-16,4
307292467,55.02,2019-02-06,2
123138154,438.41,2019-04-24,7
42802591,21.16,2019-05-09,4
177664380,8.03,2019-05-27,1
93291956,204.21,2019-04-14,16
151465280,226.54,2019-05-13,6
48538234,443.91,2019-02-04,1
57259353,191.24,2019-04-09,6
176777389,710.87,2019-05-22,10
62565488,12.15,2019-05-02,2
99747025,775.84,2019-05-12,7
25204222,8.5,2019-03-19,1
16361956,1.22,2019-03-30,1
139708030,98.92,2019-03-13,2
33039604,186.55,2019-05-24,5
57018313,101.04,2019-05-21,6
75085128,25.81,2019-03-07,2
93201700,45.92,2019-01-15,1
210562736,67.21,2019-03-07,3
101938466,132.98,2019-04-25,9
184663095,16.97,2019-03-21,2
295181432,196.7,2019-05-16,21
163495739,360.38,2019-03-17,8
112498212,82.33,2019-05-13,5
27587489,1223.09,2019-05-13,10
221879049,867.85,2019-05-28,13
63477336,69.3,2019-05-10,1
376626160,643.82,2019-05-17,5
171140621,22.07,2019-03-31,2
209841206,165.94,2019-05-17,3
343705436,1070.47,2019-06-01,14
152798584,2696.85,2019-05-31,25
208375273,515.78,2019-04-29,8
96853011,197.62,2019-05-20,3
69748626,279.04,2019-05-16,9
168809902,48.3,2019-02-19,1
184903448,297.31,2019-05-14,7
43378031,6.8,2019-05-02,1
166647598,468.92,2019-05-24,9
198797391,401.44,2019-05-23,3
44821211,8.05,2019-03-30,1
42064395,5.24,2018-12-17,1
241085209,787.1,2019-05-18,5
183067449,2.09,2019-02-11,1
248117750,80.44,2019-02-16,2
137465035,115.92,2019-04-25,11
191742602,57.47,2019-04-08,2
161549292,10.15,2019-04-30,1
52662349,16.02,2018-12-06,1
140628895,835.25,2019-05-27,9
39754459,544.05,2019-05-16,9
61538345,63.01,2019-04-03,1
92255555,78.21,2019-05-20,3
15040912,529.84,2019-05-26,17
93760450,21.56,2019-05-02,1
54736049,537.11,2019-04-29,8
95433592,136.39,2019-05-13,5
126064409,520.46,2019-05-01,7
97593316,236.48,2019-05-01,8
31706276,270.58,2019-04-23,2
183362978,361.05,2019-05-10,8
103005095,191.65,2019-05-02,5
396293147,628.29,2019-05-24,8
82231432,95.29,2019-02-27,3
176496489,94.71,2019-04-16,5
54385320,174.51,2019-05-13,3
147994390,317.31,2019-01-26,1
89294057,24.06,2018-12-09,1
69378579,2113.32,2019-05-15,18
259804960,30.0,2019-05-18,1
69563069,66.07,2019-05-08,1
75238612,6.01,2019-04-16,1
91054808,563.13,2019-05-15,12
174741988,328.43,2019-06-01,9
188213336,47.53,2019-02-11,1
186618209,101.61,2019-04-23,3
407582662,83.85,2019-05-24,3
90546574,895.56,2019-05-12,8
360957265,122.6,2019-05-07,4
135674032,253.15,2019-05-30,10
164258153,680.11,2019-05-13,2
11976566,418.39,2019-05-27,9
76981751,1123.46,2019-04-03,14
186508659,67.75,2018-12-29,1
51211448,41.7,2019-04-15,1
195377060,89.01,2019-04-02,3
194615948,50.54,2019-01-14,1
163445137,49.63,2019-05-31,3
158136182,5.56,2019-05-22,1
98553071,299.3,2019-04-16,2
157014305,1237.39,2019-04-03,9
73573584,2031.63,2019-05-15,19
32049030,243.03,2019-05-21,6
105641855,4.61,2019-04-10,1
134359455,401.04,2019-05-26,11
142767692,11.03,2019-05-14,1
76476121,585.65,2019-05-22,31
284286460,18.97,2019-04-03,1
204983042,145.57,2019-05-16,3
178997473,235.09,2019-05-22,7
148043508,232.93,2019-05-05,3
183777315,39.73,2019-04-02,3
82624251,166.61,2019-02-02,3
59744123,147.24,2019-04-25,5
137072433,1686.23,2019-04-26,21
249639474,25.35,2019-02-26,1
146194701,304.91,2019-05-31,5
34890424,35.84,2019-04-08,4
409897143,25.97,2019-05-20,3
398310960,66.56,2019-02-26,1
76477043,1406.26,2019-05-02,24
293100204,37.12,2019-05-24,4
333594487,1446.48,2019-05-02,5
203646706,13.21,2019-02-17,1
279623720,47.74,2018-12-31,1
141642409,415.19,2019-05-07,12
222307774,121.92,2019-05-07,4
98564246,42.67,2019-04-03,2
391660135,1.08,2019-05-05,1
16088536,984.49,2019-05-04,9
28947615,408.94,2019-05-28,8
42215698,82.6,2019-05-16,4
166293391,222.59,2019-05-31,1
305116510,4804.74,2019-05-29,19
207956680,90.84,2019-05-14,2
175275670,289.2,2019-05-06,14
13325210,212.24,2019-05-19,5
127980465,46.45,2019-03-15,2
200698535,13.96,2019-05-15,1
262976137,52.67,2019-02-27,2
127547714,158.86,2019-05-10,7
377717646,344.54,2019-03-27,10
179842259,250.61,2019-04-16,5
18859486,7528.73,2019-05-20,16
148693720,20.69,2019-04-03,2
128303546,255.0,2019-03-07,3
128751824,137.88,2019-05-24,6
106544517,898.14,2019-05-30,16
2177173,673.99,2019-03-22,12
595469,470.53,2019-05-06,11
265309412,292.47,2019-05-26,3
68510243,81.69,2019-05-11,3
71820813,259.08,2019-05-29,3
165635747,199.38,2019-04-15,3
140879712,8.78,2019-02-03,1
93211669,325.4,2019-05-27,6
60404208,144.8,2019-04-25,7
130558071,419.57,2019-05-14,7
51086775,223.55,2019-04-23,8
295404697,49.46,2019-04-27,3
285375957,15.99,2019-01-17,1
84094229,212.77,2019-03-25,5
272206105,15.09,2019-04-11,1
202814584,315.63,2019-05-08,10
55079755,48.21,2019-04-08,3
81146889,1734.24,2019-05-24,12
330465616,637.69,2019-05-13,6
127883440,128.8,2019-02-28,1
2610539,5.8,2019-03-26,1
415120526,16.54,2019-05-08,1
212506277,50.75,2019-02-18,1
156712266,367.01,2019-05-08,4
307247899,90.88,2019-01-25,1
146866811,64.06,2019-03-28,4
184253784,451.78,2019-04-05,4
86668453,7.54,2019-03-05,1
135956686,426.23,2019-04-29,5
84919486,370.31,2019-05-13,1
90378798,554.58,2019-04-22,4
191292383,85.63,2019-01-11,1
36405922,298.26,2019-05-10,10
166178874,2063.39,2019-05-31,21
412936661,22.5,2019-03-16,1
169304483,707.29,2019-04-04,7
8453056,783.27,2019-05-29,9
31924881,2.9,2019-02-13,1
45412323,347.12,2019-05-13,2
101798338,3.06,2019-02-25,1
146160995,403.61,2019-05-26,2
132326893,515.58,2019-05-13,5
201051090,240.68,2019-05-30,2
306072974,413.82,2019-01-23,6
85789413,64.08,2018-12-19,2
194652143,19.38,2019-03-27,2
63984129,62.47,2019-05-17,1
61964990,8.82,2018-12-05,1
104993065,29.18,2018-12-30,1
157116043,70.35,2019-04-15,2
244477234,11.88,2019-03-11,2
418779130,468.08,2019-05-30,6
156282052,1388.55,2019-05-12,2
185782916,332.91,2019-05-25,7
130908920,384.57,2019-05-29,6
130480123,41.11,2019-03-31,3
134846032,828.88,2019-05-03,13
127873428,1.31,2018-12-16,1
93530633,216.82,2019-05-16,5
86644235,27.39,2019-02-27,2
82001024,98.27,2019-03-11,1
200018830,52.15,2019-05-27,3
324728556,196.29,2019-03-07,1
245181229,41.69,2019-03-07,1
20692103,54.01,2019-02-14,4
26925589,294.47,2019-05-13,6
143277613,452.67,2018-12-22,2
220776303,154.31,2019-05-13,7
18998101,213.21,2019-05-15,4
245974510,108.75,2019-05-24,3
43958818,531.72,2019-05-14,10
119153611,112.53,2019-03-14,2
150639317,472.64,2019-05-27,11
114925015,193.58,2019-05-27,9
427413308,58.18,2019-05-25,3
188143272,72.79,2019-04-05,2
188097445,74.57,2019-02-04,2
146662297,45.82,2019-03-29,1
301465862,12.77,2019-01-21,1
35015386,25.15,2019-04-25,2
163385248,344.73,2019-05-20,6
308582462,55.8,2019-05-03,1
154791291,718.91,2019-05-30,9
28969772,281.98,2019-05-29,12
118941660,130.58,2018-12-18,2
114936973,500.58,2019-05-14,8
194123150,443.51,2019-05-15,6
93537522,1289.97,2019-04-30,6
285539477,148.83,2019-05-16,2
357298955,2.8,2019-02-20,1
30601022,3.88,2019-05-24,1
78895727,215.37,2019-03-21,1
68832498,402.8,2019-05-08,4
214581092,105.89,2019-05-14,2
84611745,944.72,2019-05-16,7
205119601,126.56,2019-04-23,2
223107046,129.67,2019-01-16,2
260352728,180.7,2019-04-26,3
76850809,149.91,2019-02-01,3
29889643,190.96,2019-03-25,4
400309773,11.25,2019-05-30,1
168485471,71.97,2019-04-25,5
98241141,79.85,2019-01-24,1
310565382,81.61,2019-05-28,3
262624106,135.24,2019-03-14,2
158914008,155.85,2019-05-09,3
26093111,97.99,2019-02-27,2
63533723,185.82,2019-02-28,4
162710588,79.41,2019-01-13,1
334011524,16.73,2019-05-25,1
157568016,983.03,2019-05-14,29
301857614,100.91,2019-04-16,1
323946517,28.61,2019-04-06,1
52141475,511.83,2019-05-27,14
53823308,72.15,2019-05-13,4
71443147,168.02,2019-03-29,4
20031783,172.35,2019-05-31,3
76407642,104.83,2019-05-29,5
119488174,851.71,2019-05-16,6
57938852,14.25,2019-03-18,1
60042165,45.07,2018-12-07,1
115496544,372.79,2019-01-25,2
417344232,40.35,2019-05-08,2
41228824,243.9,2019-06-01,14
97810523,932.95,2019-05-15,13
37011590,191.25,2019-04-27,5
7926806,575.65,2019-05-21,9
253717810,564.78,2019-05-29,10
279359510,1097.81,2019-05-14,10
44198864,371.5,2019-05-22,11
271821031,469.65,2019-02-16,4
18881595,7.02,2019-05-23,1
4377824,241.97,2019-05-20,4
116158027,184.96,2019-03-14,2
243558502,133.4,2019-05-15,1
1480428,1230.43,2019-05-31,13
47864237,568.68,2019-05-01,16
188174802,162.91,2019-05-15,11
156256345,415.12,2019-03-25,8
86395081,41.54,2019-02-24,2
29615632,105.67,2019-02-23,4
280195351,983.68,2019-04-11,11
129467061,29.1,2019-01-23,2
150438046,212.87,2019-04-30,6
208824099,33.59,2019-05-09,3
250323729,316.2,2019-05-31,11
133679039,10.46,2019-05-16,1
314104804,47.07,2019-05-30,5
7528357,42.27,2019-05-31,31
193203683,254.52,2019-05-17,1
161611694,88.46,2019-01-26,4
319190639,227.17,2019-05-03,1
133124863,60.44,2019-05-24,2
202938383,327.3,2019-04-25,2
308180626,86.54,2019-03-01,2
327940871,54.17,2019-01-14,1
181940418,4.25,2019-03-16,1
52290035,237.88,2019-04-29,2
321579301,316.33,2019-04-07,5
47989410,1817.3,2019-05-30,40
156308067,710.84,2019-05-31,8
131118551,13.56,2019-03-06,1
151053865,288.13,2019-04-24,5
184164950,55.84,2019-02-13,2
32603995,43.8,2019-04-27,2
215802055,96.75,2019-02-06,1
59227040,495.67,2019-05-02,7
166089992,618.49,2019-01-24,3
214632223,46.48,2019-05-30,2
148368487,21.79,2019-03-21,1
215303266,61.6,2019-04-21,2
242416246,980.87,2019-05-31,12
122674143,203.86,2019-02-25,3
86218143,442.63,2019-05-25,9
318025774,5.53,2019-04-05,3
80381660,16.39,2019-04-03,1
50943952,821.73,2019-03-27,6
54629373,254.51,2019-05-28,9
43197193,232.52,2019-04-11,4
13464421,583.38,2019-05-08,6
112524160,125.75,2019-05-27,4
241033848,130.12,2019-04-04,6
27890124,637.14,2019-05-22,5
17279584,81.02,2019-05-02,3
357157592,12.54,2019-03-28,1
60294428,236.03,2019-05-20,6
135755089,57.44,2019-04-01,1
190637963,963.23,2019-05-24,12
11935765,2649.53,2019-05-17,19
46798819,356.28,2019-05-10,4
167342461,83.98,2019-04-17,2
70604376,273.77,2019-05-12,6
200231233,624.13,2019-05-29,7
145517913,72.85,2019-02-21,1
317748376,133.31,2019-03-29,3
290662357,169.15,2019-05-08,3
56851796,3.81,2019-02-23,2
356530344,10.2,2019-02-20,2
91992652,411.82,2019-05-29,14
30945506,26.31,2018-12-22,1
204452084,10.1,2019-02-15,1
72565620,539.24,2019-05-13,16
158396329,118.39,2019-05-31,3
24985272,12.76,2019-05-31,2
71069670,758.12,2019-05-27,12
13136988,91.31,2019-05-11,5
233518852,48.31,2019-02-09,2
35928723,13.43,2019-04-03,3
34321360,370.16,2019-05-30,10
58088099,368.6,2019-04-17,5
23909222,223.6,2019-05-27,7
59249173,683.19,2019-05-29,7
126474014,73.39,2019-05-20,4
12630406,122.9,2019-03-24,4
374769456,401.88,2019-05-27,6
159146194,164.58,2019-05-20,4
276494331,5443.03,2019-05-31,36
56846353,261.82,2019-04-08,3
417724200,41.12,2019-03-22,4
251625292,27.26,2019-05-08,3
134665405,192.92,2019-04-15,8
50032647,302.2,2019-05-28,6
87356349,118.64,2019-04-12,4
168372050,1693.24,2019-05-31,8
42815736,542.48,2019-06-01,8
287297245,278.12,2019-05-16,5
202634005,179.91,2019-05-07,2
97535873,2.71,2019-03-29,1
60665018,604.0,2019-05-06,4
226921666,233.41,2019-05-11,1
40646596,565.54,2019-05-24,1
28264269,176.72,2019-05-31,5
76949799,337.19,2019-05-31,11
8266534,420.07,2019-01-18,6
66856160,80.77,2019-05-09,3
10152929,242.04,2019-05-15,4
70342788,847.49,2019-06-01,5
89432351,146.82,2019-05-13,8
222898295,9.76,2019-01-25,1
214282296,12.82,2019-03-19,2
286136882,330.95,2019-04-16,7
243165309,153.64,2019-05-15,3
148531176,379.23,2019-05-23,9
267545167,12.11,2019-01-11,1
3769961,748.71,2019-05-16,8
201515419,85.35,2019-05-15,1
19952298,371.88,2019-04-20,5
61964164,87.47,2019-03-19,3
182704556,20.72,2019-05-30,2
64217200,1114.89,2019-04-26,14
326404283,2.26,2019-03-02,1
12202320,565.57,2019-04-21,2
91518100,295.02,2019-03-07,5
91892927,6.38,2019-01-24,1
59340683,1907.89,2019-05-22,14
152102978,1666.05,2019-05-13,19
91880239,99.69,2019-05-20,4
388889027,16.75,2019-05-30,3
229588841,552.61,2019-05-26,5
78606141,89.59,2019-02-24,3
76647549,43.45,2019-02-20,2
35728706,177.15,2019-05-08,4
46681741,517.59,2019-05-13,2
75560565,28.58,2019-05-07,2
143153199,1.79,2019-04-22,1
155412203,634.36,2019-03-18,6
171279054,239.68,2019-05-17,2
314459204,0.03,2019-01-08,1
15417474,1044.29,2019-05-21,17
193133643,505.44,2019-05-31,10
63893571,86.23,2018-12-19,1
72705820,801.28,2019-05-31,8
231984916,1321.45,2019-04-28,14
153603708,179.99,2019-03-20,5
315141892,43.84,2019-05-06,2
196608372,22.96,2019-03-31,2
198371088,4.3,2019-05-02,1
336132925,1532.57,2019-05-29,7
305609578,1615.39,2019-06-01,16
148828742,1094.9,2019-05-10,14
130961848,136.03,2019-02-05,1
45548954,3.3,2019-05-09,2
205281656,247.26,2019-05-15,10
180958554,36.9,2019-05-29,1
221817350,175.16,2019-04-23,4
5064044,309.06,2019-01-05,1
121657084,61.67,2019-03-11,2
209592595,13.77,2019-01-26,1
95790419,354.11,2019-05-31,7
137938315,112.36,2019-01-10,2
10055404,43.55,2019-04-23,1
119232270,202.94,2019-05-20,3
75232795,576.94,2019-05-30,5
126831988,383.01,2019-04-28,10
14461673,106.32,2019-05-23,4
316963436,159.31,2019-05-20,10
130780817,181.72,2019-03-16,3
187524475,6.88,2019-04-15,1
117348,1970.31,2019-05-22,13
292320496,593.22,2019-05-15,16
118362421,1157.18,2019-05-31,13
150351057,5.85,2019-01-20,1
66500362,84.2,2019-05-31,7
277586504,22.11,2018-12-18,2
110633461,457.24,2019-04-12,7
140355932,110.51,2019-04-07,5
318220848,100.58,2019-05-27,2
240668942,24.27,2019-03-09,1
431351914,67.24,2019-05-24,2
155034652,146.25,2019-05-14,2
2668113,52.58,2019-01-03,1
231861069,2.14,2019-04-07,2
145129120,62.83,2019-05-26,2
59278075,16.37,2018-12-20,1
1703102,507.2,2019-05-13,4
43334741,215.41,2019-05-16,9
136274733,129.46,2019-04-19,3
147114481,165.64,2019-05-28,2
139626259,15.65,2019-05-15,2
2506606,269.16,2019-05-20,2
267006090,1004.52,2019-05-26,12
301726931,83.51,2019-04-18,1
61993590,147.35,2019-05-14,5
56322001,414.89,2019-05-30,17
128661905,1060.67,2019-05-28,15
120805077,283.46,2019-04-17,4
228107501,275.22,2019-03-05,6
86323504,130.8,2019-05-01,3
237907442,39.94,2019-03-05,1
28167859,17.62,2019-01-14,1
41742175,266.31,2019-05-01,5
280892077,136.35,2019-04-11,4
133495030,903.93,2019-03-08,13
74156630,33.41,2019-02-13,2
150204275,726.65,2019-03-28,7
59380995,46.26,2018-12-01,1
263409177,1.2,2019-01-30,1
169484482,499.36,2019-05-15,7
152221406,43.02,2019-03-18,1
136882981,46.67,2019-06-01,1
110806969,796.96,2019-05-24,11
57961533,52.46,2019-04-20,1
310965590,189.6,2019-05-04,3
36198454,448.4,2019-02-12,1
199831434,133.31,2019-05-16,1
303152317,14.8,2019-02-11,1
215743829,779.78,2019-04-15,6
70408481,52.67,2019-05-27,2
38148692,11.89,2019-03-14,1
24509851,712.48,2019-03-15,8
377995333,38.62,2019-03-03,2
238416267,44.29,2019-05-21,2
214196590,135.81,2019-05-29,4
78662480,22.21,2019-05-30,2
196333794,32.67,2018-12-18,1
76711627,80.59,2019-01-16,1
71907976,3.12,2019-03-14,1
170513023,184.24,2019-05-01,7
47477722,143.88,2019-04-15,4
77087617,37.67,2019-05-07,1
43283380,210.02,2019-03-26,6
152760296,645.22,2019-05-31,7
136905777,6.7,2019-03-07,2
96958123,72.59,2019-03-06,1
159869622,52.78,2019-02-28,1
182771479,285.4,2019-05-13,13
19342398,5.96,2018-12-27,1
130954945,582.89,2019-05-27,12
33791517,302.57,2019-05-29,9
59449642,416.93,2019-05-05,5
190590032,75.07,2019-04-03,3
66152213,678.09,2019-04-18,1
178712533,78.58,2018-12-21,1
131619877,959.34,2019-05-11,7
112180157,134.84,2019-04-17,2
66578973,487.51,2019-05-26,11
40377178,1062.9,2019-05-24,10
86810816,2.23,2019-05-04,1
214770819,302.24,2019-05-31,10
57496637,87.3,2019-05-09,4
19292550,528.42,2019-05-19,6
217195724,117.85,2019-03-28,2
208802918,324.85,2019-05-15,6
387324700,8.9,2019-05-27,1
390392548,188.86,2019-05-18,5
160371044,169.34,2019-04-17,3
84190650,35.32,2018-12-22,2
242646261,103.06,2019-05-23,6
86567100,446.37,2019-05-27,15
35911044,578.22,2019-04-28,8
141535685,23.39,2019-04-02,1
35645224,353.59,2019-05-20,5
2248031,484.2,2019-05-15,8
74974998,3742.03,2019-05-30,20
24594044,295.5,2019-05-28,1
210451828,697.28,2019-05-19,4
95651021,359.25,2019-05-13,11
352149571,243.92,2019-05-20,4
143524361,21.68,2019-01-12,1
28996907,473.93,2019-05-27,6
238218974,14.62,2019-05-31,1
11398677,460.33,2019-05-21,5
104848681,315.09,2019-05-17,6
163332922,90.69,2019-03-22,4
143556837,1218.67,2019-06-01,20
92835949,472.28,2019-05-14,1
135107366,71.41,2019-05-04,3
289204337,20.67,2019-04-26,1
347743941,129.24,2019-05-15,5
299028582,50.61,2019-02-07,1
31249702,48.87,2019-05-20,1
211742144,60.87,2019-01-18,2
270665785,254.83,2019-05-12,6
49199939,280.59,2019-05-28,8
2308463,131.4,2019-05-27,6
62804574,8.5,2019-01-08,2
86622348,462.3,2019-05-06,10
51510466,1078.68,2019-05-17,16
78803819,813.19,2019-05-28,19
22175793,50.54,2019-01-12,2
192060697,56.76,2019-01-15,1
137002639,275.01,2019-05-19,8
11837462,735.69,2019-05-18,10
110023446,81.89,2019-02-09,4
256628423,324.36,2019-05-17,7
33790902,47.82,2019-04-11,3
308780068,124.49,2019-04-02,5
35173276,2.13,2018-12-03,1
52575865,47.61,2018-12-12,1
174903765,304.14,2019-04-03,3
180211889,18.86,2019-05-17,2
149942246,126.85,2019-05-20,10
141632336,4.51,2019-04-07,1
73719738,533.6,2019-05-16,13
37859317,52.94,2019-01-08,1
97823644,351.81,2019-05-14,7
180182848,328.01,2019-05-10,8
30003056,23.76,2018-12-22,1
143963103,136.52,2019-02-04,3
31878185,168.49,2019-04-11,2
316846997,15.93,2018-12-16,2
126508057,77.96,2019-03-29,8
113936556,35.89,2019-05-22,4
9686833,204.75,2019-03-07,3
62439053,177.62,2019-05-20,13
135772466,440.71,2019-05-31,10
246413704,88.61,2019-05-31,1
266384641,331.52,2019-05-29,6
327888160,508.46,2019-04-03,7
21153219,744.52,2019-04-03,5
76536280,15.82,2019-02-12,1
21390209,923.33,2019-05-10,7
157362013,162.91,2019-05-16,10
165702699,257.27,2019-06-01,11
54828588,8.75,2019-03-20,1
258091560,541.85,2019-04-03,9
183729130,36.38,2019-01-14,6
188538374,91.03,2019-04-08,1
156825329,100.07,2018-12-24,1
223422513,31.86,2018-12-11,1
29718346,1951.25,2019-05-27,23
292201410,514.09,2019-05-23,17
3546918,187.65,2019-01-09,4
343583594,314.37,2019-05-13,9
166418786,3.01,2019-05-22,2
275074019,257.75,2019-05-13,10
86453457,213.66,2019-05-25,8
217369871,96.43,2019-02-18,2
162288402,553.39,2019-05-16,5
67627995,42.14,2019-02-04,1
72901274,383.54,2019-05-21,8
127925963,28.69,2019-05-16,2
376682082,31.3,2019-02-01,1
51546896,37.16,2019-04-30,2
127982700,497.26,2019-05-03,25
81631838,141.37,2019-03-14,4
345331013,4.28,2019-04-22,1
129929099,570.97,2019-05-20,4
61846193,205.06,2019-03-18,5
3097386,553.57,2019-05-18,8
153699792,60.38,2019-02-19,3
240380754,22.91,2019-05-29,3
299352259,40.63,2019-04-06,1
63311795,20.5,2019-05-02,2
74834918,808.24,2019-05-29,9
73725801,84.64,2019-04-02,3
95287513,1056.76,2019-03-17,5
62804459,3.96,2019-02-12,1
93241004,411.2,2019-05-29,14
28953871,7.0,2019-04-25,2
36726650,182.2,2019-05-16,1
70112174,121.98,2019-04-09,4
79437841,3013.63,2019-05-29,8
59392175,320.81,2019-05-12,6
48912505,414.58,2019-05-03,7
23841460,17.91,2018-12-26,1
153870883,25.4,2019-05-13,2
21574771,6.78,2019-03-12,1
239093777,130.75,2019-02-25,1
209136040,381.25,2019-05-29,6
10249724,63.09,2019-04-14,3
