CUS_CUST_ID_BUY,MAU_MP_3,MAU_ML_3,MAU_MP_2,MAU_ML_2,MAU_MP_1,MAU_ML_1,last_login_mp_date_1,last_login_ml_date_1
273268968,5.0,11.0,4.0,5.0,2.0,9.0,2019-05-22,2019-05-31
41388508,11.0,0.0,10.0,0.0,10.0,0.0,2019-05-31,2019-05-31
74622434,4.0,27.0,6.0,21.0,7.0,26.0,2019-05-30,2019-05-31
60426585,29.0,30.0,29.0,29.0,30.0,29.0,2019-05-31,2019-05-31
402750303,,,2.0,0.0,6.0,0.0,2019-05-19,2019-05-19
188576845,19.0,30.0,13.0,26.0,14.0,26.0,2019-05-28,2019-05-30
150979941,,,1.0,0.0,1.0,0.0,2019-05-30,2019-05-30
358539286,3.0,3.0,3.0,3.0,4.0,1.0,2019-05-18,2019-05-29
286781819,14.0,31.0,12.0,27.0,2.0,28.0,2019-05-14,2019-05-31
436148081,,,,,12.0,13.0,2019-05-31,2019-05-31
61325808,2.0,22.0,5.0,25.0,5.0,25.0,2019-05-24,2019-05-30
105572915,5.0,0.0,2.0,0.0,4.0,0.0,2019-05-31,2019-05-31
241925948,,,,,0.0,4.0,2019-05-16,2019-05-16
45274881,0.0,19.0,0.0,9.0,1.0,4.0,2019-05-31,2019-05-31
436700456,,,,,0.0,3.0,2019-05-20,2019-05-20
261749242,10.0,14.0,8.0,9.0,4.0,8.0,2019-05-22,2019-05-31
130291348,0.0,24.0,0.0,13.0,0.0,21.0,2019-05-29,2019-05-29
288651388,23.0,14.0,24.0,5.0,27.0,15.0,2019-05-31,2019-05-31
146512040,7.0,25.0,8.0,24.0,7.0,23.0,2019-05-26,2019-05-31
301497596,1.0,0.0,2.0,0.0,1.0,0.0,2019-05-07,2019-05-07
280760253,,,,,,,,
120890132,2.0,0.0,3.0,0.0,2.0,0.0,2019-05-17,2019-05-17
32844085,9.0,4.0,10.0,2.0,12.0,0.0,2019-05-28,2019-05-28
40543719,2.0,2.0,12.0,0.0,2.0,0.0,2019-05-02,2019-05-02
373570001,,,,,1.0,0.0,2019-05-27,2019-05-27
19315411,1.0,3.0,2.0,2.0,10.0,13.0,2019-05-30,2019-05-31
315597756,27.0,0.0,22.0,0.0,20.0,0.0,2019-05-31,2019-05-31
260859640,5.0,16.0,7.0,22.0,9.0,22.0,2019-05-23,2019-05-31
384841272,7.0,0.0,2.0,0.0,1.0,0.0,2019-05-26,2019-05-26
78372283,31.0,25.0,16.0,29.0,18.0,26.0,2019-05-31,2019-05-31
147220254,2.0,0.0,,,,,,
84892690,2.0,14.0,1.0,18.0,1.0,16.0,2019-05-21,2019-05-31
391220509,2.0,0.0,8.0,0.0,13.0,0.0,2019-05-27,2019-05-27
212491572,6.0,0.0,6.0,0.0,7.0,0.0,2019-05-24,2019-05-24
143651661,5.0,29.0,14.0,29.0,8.0,31.0,2019-05-28,2019-05-31
222954689,,,,,,,,
91185420,5.0,28.0,9.0,24.0,6.0,23.0,2019-05-28,2019-05-31
372116638,1.0,0.0,,,0.0,3.0,2019-05-27,2019-05-27
20306713,7.0,0.0,2.0,0.0,5.0,0.0,2019-05-25,2019-05-25
179189214,14.0,20.0,13.0,8.0,11.0,0.0,2019-05-31,2019-05-31
25062565,0.0,21.0,0.0,21.0,0.0,26.0,2019-05-31,2019-05-31
97879274,1.0,10.0,0.0,13.0,1.0,19.0,2019-05-11,2019-05-31
11858484,4.0,25.0,6.0,29.0,10.0,23.0,2019-05-30,2019-05-31
146620093,2.0,31.0,2.0,29.0,1.0,31.0,2019-05-31,2019-05-31
83212129,1.0,5.0,0.0,3.0,3.0,2.0,2019-05-07,2019-05-17
125693369,,,,,,,,
329467339,9.0,18.0,0.0,18.0,2.0,21.0,2019-05-16,2019-05-31
174408731,,,0.0,3.0,3.0,6.0,2019-05-30,2019-05-29
128426465,2.0,23.0,9.0,24.0,8.0,16.0,2019-05-19,2019-05-28
252353381,,,1.0,5.0,,,,
368489543,2.0,26.0,3.0,13.0,3.0,16.0,2019-05-20,2019-05-31
270425824,,,,,,,,
83102592,0.0,10.0,0.0,13.0,0.0,11.0,2019-05-27,2019-05-27
387124415,,,,,,,,
263061658,,,,,1.0,1.0,2019-05-02,2019-05-17
176226531,2.0,7.0,5.0,12.0,7.0,12.0,2019-05-28,2019-05-28
216123609,2.0,0.0,,,,,,
92423274,0.0,11.0,0.0,21.0,0.0,17.0,2019-05-29,2019-05-29
184052555,1.0,0.0,1.0,0.0,1.0,0.0,2019-05-21,2019-05-21
59201378,,,,,0.0,1.0,2019-05-30,2019-05-30
220488910,0.0,10.0,0.0,5.0,0.0,8.0,2019-05-28,2019-05-28
402826703,,,,,,,,
223317655,,,,,,,,
285486781,4.0,0.0,3.0,3.0,2.0,15.0,2019-05-20,2019-05-29
169932187,0.0,20.0,0.0,11.0,0.0,12.0,2019-05-29,2019-05-29
76532635,1.0,7.0,5.0,5.0,0.0,9.0,2019-05-31,2019-05-31
280799270,,,,,,,,
190899425,3.0,22.0,3.0,15.0,0.0,19.0,2019-05-31,2019-05-31
153371951,,,1.0,0.0,2.0,0.0,2019-05-22,2019-05-22
85546411,4.0,19.0,1.0,9.0,4.0,22.0,2019-05-26,2019-05-31
301169321,2.0,0.0,10.0,0.0,11.0,3.0,2019-05-30,2019-05-27
28996907,2.0,0.0,,,11.0,4.0,2019-05-30,2019-05-26
442598513,,,,,,,,
898712,2.0,10.0,6.0,8.0,1.0,4.0,2019-05-24,2019-05-31
415148165,,,4.0,0.0,13.0,4.0,2019-05-31,2019-05-31
58675156,2.0,0.0,5.0,0.0,2.0,0.0,2019-05-08,2019-05-08
165432830,3.0,7.0,5.0,1.0,2.0,1.0,2019-05-24,2019-05-01
444901201,,,,,,,,
273629730,9.0,5.0,14.0,6.0,21.0,0.0,2019-05-29,2019-05-29
173561067,,,,,1.0,0.0,2019-05-30,2019-05-30
434940397,,,,,4.0,4.0,2019-05-29,2019-05-22
144253246,14.0,0.0,19.0,1.0,25.0,7.0,2019-05-31,2019-05-28
145007052,0.0,23.0,1.0,22.0,1.0,23.0,2019-05-02,2019-05-31
337050138,0.0,16.0,3.0,15.0,3.0,20.0,2019-05-22,2019-05-28
228603444,11.0,21.0,12.0,13.0,16.0,20.0,2019-05-29,2019-05-31
183437293,0.0,21.0,8.0,14.0,6.0,8.0,2019-05-14,2019-05-26
23729160,3.0,16.0,9.0,23.0,5.0,27.0,2019-05-31,2019-05-31
153557126,0.0,6.0,0.0,4.0,0.0,6.0,2019-05-18,2019-05-18
119878530,,,2.0,0.0,9.0,0.0,2019-05-29,2019-05-29
393711870,2.0,0.0,,,,,,
8221190,5.0,27.0,3.0,10.0,13.0,10.0,2019-05-31,2019-05-30
397628695,,,,,,,,
143067003,,,,,,,,
312094269,5.0,12.0,3.0,20.0,2.0,23.0,2019-05-31,2019-05-31
151599875,5.0,0.0,4.0,0.0,9.0,0.0,2019-05-30,2019-05-30
358789316,12.0,0.0,7.0,0.0,15.0,0.0,2019-05-30,2019-05-30
114076785,1.0,4.0,3.0,16.0,2.0,11.0,2019-05-27,2019-05-23
75590496,2.0,0.0,6.0,0.0,,,,
115582869,0.0,14.0,0.0,10.0,0.0,13.0,2019-05-29,2019-05-29
262210798,0.0,5.0,0.0,6.0,0.0,12.0,2019-05-31,2019-05-31
6576791,12.0,14.0,8.0,10.0,7.0,12.0,2019-05-30,2019-05-31
19773036,29.0,31.0,29.0,28.0,30.0,28.0,2019-05-31,2019-05-31
17177894,,,0.0,3.0,1.0,15.0,2019-05-31,2019-05-30
282290902,,,,,3.0,0.0,2019-05-13,2019-05-13
399503153,2.0,26.0,0.0,24.0,0.0,24.0,2019-05-31,2019-05-31
12944332,5.0,4.0,5.0,8.0,1.0,15.0,2019-05-23,2019-05-30
280436224,,,,,,,,
32384327,0.0,27.0,0.0,27.0,0.0,31.0,2019-05-31,2019-05-31
46220557,3.0,0.0,7.0,0.0,7.0,0.0,2019-05-31,2019-05-31
67021410,0.0,16.0,0.0,9.0,0.0,15.0,2019-05-31,2019-05-31
9649286,3.0,18.0,3.0,15.0,4.0,24.0,2019-05-24,2019-05-28
34922351,3.0,22.0,4.0,18.0,2.0,11.0,2019-05-03,2019-05-28
274457377,1.0,26.0,5.0,26.0,5.0,27.0,2019-05-28,2019-05-31
150862502,,,,,,,,
181256986,0.0,11.0,0.0,9.0,,,,
171508646,3.0,11.0,7.0,13.0,8.0,15.0,2019-05-30,2019-05-29
206546957,,,,,7.0,0.0,2019-05-30,2019-05-30
394551100,20.0,0.0,8.0,0.0,10.0,0.0,2019-05-31,2019-05-31
386135325,,,,,,,,
320650,0.0,8.0,1.0,10.0,0.0,15.0,2019-05-29,2019-05-29
399768942,3.0,8.0,3.0,10.0,12.0,19.0,2019-05-29,2019-05-31
174903765,8.0,9.0,7.0,12.0,4.0,11.0,2019-05-22,2019-05-28
33842567,13.0,0.0,6.0,0.0,12.0,0.0,2019-05-21,2019-05-21
72299572,,,,,,,,
128090439,5.0,0.0,9.0,3.0,11.0,5.0,2019-05-28,2019-05-22
65916456,,,3.0,0.0,,,,
78755628,,,,,1.0,5.0,2019-05-29,2019-05-31
273529263,1.0,9.0,4.0,4.0,1.0,10.0,2019-05-23,2019-05-31
81919585,1.0,21.0,0.0,21.0,2.0,27.0,2019-05-30,2019-05-31
335797136,11.0,0.0,9.0,0.0,13.0,0.0,2019-05-28,2019-05-28
41793583,,,,,,,,
207639041,12.0,3.0,9.0,13.0,8.0,7.0,2019-05-30,2019-05-19
143178443,22.0,23.0,17.0,29.0,13.0,29.0,2019-05-29,2019-05-31
156458596,10.0,26.0,3.0,21.0,10.0,26.0,2019-05-27,2019-05-31
355390030,,,0.0,6.0,0.0,4.0,2019-05-09,2019-05-09
342118527,0.0,13.0,6.0,25.0,7.0,27.0,2019-05-28,2019-05-31
438794132,,,,,2.0,0.0,2019-05-31,2019-05-31
297205282,5.0,19.0,3.0,7.0,,,,
166085737,4.0,0.0,7.0,2.0,3.0,4.0,2019-05-28,2019-05-23
240897683,0.0,5.0,0.0,11.0,15.0,18.0,2019-05-31,2019-05-31
183602622,0.0,12.0,0.0,8.0,,,,
38090279,4.0,17.0,0.0,18.0,0.0,19.0,2019-05-30,2019-05-30
15221464,16.0,18.0,12.0,6.0,12.0,10.0,2019-05-30,2019-05-31
43996244,27.0,31.0,26.0,30.0,25.0,31.0,2019-05-31,2019-05-31
387799820,0.0,1.0,12.0,25.0,11.0,30.0,2019-05-30,2019-05-31
226653786,5.0,1.0,2.0,2.0,13.0,0.0,2019-05-31,2019-05-31
103703162,5.0,23.0,5.0,19.0,11.0,21.0,2019-05-31,2019-05-31
146043757,0.0,22.0,0.0,17.0,3.0,27.0,2019-05-29,2019-05-31
307107406,11.0,4.0,2.0,0.0,2.0,3.0,2019-05-31,2019-05-31
221665289,0.0,16.0,0.0,20.0,1.0,21.0,2019-05-27,2019-05-30
305913222,,,1.0,0.0,14.0,1.0,2019-05-30,2019-05-25
172699916,1.0,0.0,2.0,0.0,3.0,0.0,2019-05-20,2019-05-20
74038288,0.0,10.0,0.0,9.0,0.0,8.0,2019-05-31,2019-05-31
129712603,,,,,3.0,0.0,2019-05-19,2019-05-19
158533200,5.0,0.0,2.0,0.0,11.0,17.0,2019-05-31,2019-05-31
31873417,,,1.0,13.0,1.0,10.0,2019-05-06,2019-05-23
184095713,7.0,4.0,3.0,8.0,4.0,16.0,2019-05-26,2019-05-31
434533720,,,,,12.0,11.0,2019-05-26,2019-05-28
305375778,14.0,16.0,12.0,3.0,7.0,4.0,2019-05-31,2019-05-31
41228824,11.0,25.0,9.0,27.0,9.0,31.0,2019-05-31,2019-05-31
44088809,0.0,5.0,0.0,11.0,1.0,11.0,2019-05-20,2019-05-29
56836637,2.0,27.0,1.0,16.0,2.0,14.0,2019-05-19,2019-05-20
178496476,1.0,0.0,1.0,0.0,3.0,0.0,2019-05-28,2019-05-28
423095946,,,8.0,0.0,13.0,0.0,2019-05-28,2019-05-28
191663575,1.0,9.0,3.0,16.0,1.0,24.0,2019-05-22,2019-05-31
192400501,,,1.0,0.0,,,,
41546919,1.0,6.0,0.0,9.0,0.0,11.0,2019-05-31,2019-05-31
70497798,3.0,17.0,6.0,20.0,5.0,22.0,2019-05-26,2019-05-31
146831435,15.0,0.0,8.0,0.0,6.0,0.0,2019-05-27,2019-05-27
128853099,0.0,6.0,0.0,13.0,0.0,11.0,2019-05-25,2019-05-25
311507825,1.0,20.0,1.0,8.0,0.0,11.0,2019-05-14,2019-05-14
277137050,0.0,2.0,0.0,2.0,0.0,9.0,2019-05-29,2019-05-29
402615020,,,,,,,,
45897854,0.0,7.0,0.0,9.0,0.0,10.0,2019-05-28,2019-05-28
6679305,,,,,,,,
390217387,13.0,8.0,30.0,11.0,6.0,13.0,2019-05-23,2019-05-29
130772698,0.0,3.0,0.0,7.0,0.0,12.0,2019-05-31,2019-05-31
424077620,,,8.0,0.0,13.0,0.0,2019-05-31,2019-05-31
181858386,,,,,24.0,6.0,2019-05-31,2019-05-31
198882521,8.0,0.0,7.0,0.0,12.0,0.0,2019-05-28,2019-05-28
228360783,0.0,22.0,0.0,18.0,4.0,22.0,2019-05-31,2019-05-31
109411549,12.0,13.0,25.0,19.0,28.0,23.0,2019-05-31,2019-05-31
262958652,1.0,0.0,2.0,4.0,11.0,12.0,2019-05-25,2019-05-25
131488584,1.0,0.0,3.0,0.0,7.0,0.0,2019-05-29,2019-05-29
378741140,24.0,0.0,27.0,0.0,26.0,0.0,2019-05-31,2019-05-31
50772188,0.0,5.0,0.0,3.0,0.0,9.0,2019-05-29,2019-05-29
84362807,7.0,10.0,2.0,16.0,4.0,15.0,2019-05-29,2019-05-31
89946168,1.0,6.0,1.0,2.0,0.0,5.0,2019-05-31,2019-05-31
116192940,0.0,2.0,8.0,18.0,6.0,26.0,2019-05-31,2019-05-31
92552421,1.0,0.0,3.0,0.0,2.0,0.0,2019-05-25,2019-05-25
385209246,,,4.0,0.0,2.0,9.0,2019-05-06,2019-05-30
1463537,1.0,17.0,0.0,15.0,0.0,19.0,2019-05-30,2019-05-30
373452208,2.0,22.0,1.0,18.0,1.0,23.0,2019-05-24,2019-05-31
96853011,,,,,2.0,17.0,2019-05-31,2019-05-31
383167215,0.0,9.0,0.0,16.0,0.0,8.0,2019-05-31,2019-05-31
3537728,0.0,7.0,,,,,,
399058090,0.0,10.0,0.0,10.0,0.0,15.0,2019-05-29,2019-05-29
130249496,,,4.0,0.0,2.0,0.0,2019-05-21,2019-05-21
416327596,0.0,7.0,0.0,7.0,1.0,11.0,2019-05-18,2019-05-31
418775109,,,3.0,9.0,5.0,5.0,2019-05-15,2019-05-28
190701898,0.0,5.0,5.0,15.0,5.0,18.0,2019-05-24,2019-05-31
53666274,6.0,31.0,6.0,25.0,8.0,23.0,2019-05-31,2019-05-31
395750666,0.0,5.0,0.0,3.0,0.0,9.0,2019-05-31,2019-05-31
28772590,5.0,5.0,,,4.0,0.0,2019-05-30,2019-05-30
289307367,4.0,14.0,6.0,12.0,1.0,17.0,2019-05-06,2019-05-30
300747615,,,3.0,0.0,9.0,0.0,2019-05-27,2019-05-27
31275298,11.0,26.0,2.0,18.0,16.0,18.0,2019-05-31,2019-05-31
400946377,22.0,0.0,30.0,0.0,22.0,0.0,2019-05-31,2019-05-31
134742467,1.0,0.0,6.0,0.0,8.0,0.0,2019-05-31,2019-05-31
176917648,1.0,22.0,1.0,18.0,0.0,18.0,2019-05-31,2019-05-31
413564041,3.0,0.0,1.0,0.0,,,,
181868093,2.0,24.0,1.0,16.0,4.0,31.0,2019-05-17,2019-05-31
217750295,,,1.0,0.0,4.0,0.0,2019-05-30,2019-05-30
403298340,12.0,0.0,9.0,2.0,5.0,9.0,2019-05-28,2019-05-27
315386487,0.0,10.0,2.0,6.0,,,,
198959978,2.0,0.0,,,4.0,0.0,2019-05-30,2019-05-30
314162244,4.0,0.0,1.0,0.0,3.0,0.0,2019-05-23,2019-05-23
50734917,0.0,19.0,0.0,28.0,3.0,30.0,2019-05-28,2019-05-31
285675317,,,,,1.0,0.0,2019-05-29,2019-05-29
109208962,16.0,26.0,9.0,24.0,14.0,24.0,2019-05-30,2019-05-31
257386828,,,,,,,,
423409119,,,3.0,0.0,1.0,0.0,2019-05-21,2019-05-21
186424410,5.0,22.0,2.0,20.0,0.0,29.0,2019-05-31,2019-05-31
447523087,,,,,,,,
257061973,,,,,,,,
234834232,17.0,0.0,15.0,0.0,20.0,17.0,2019-05-31,2019-05-24
269412464,6.0,0.0,12.0,0.0,9.0,0.0,2019-05-13,2019-05-13
15792530,3.0,0.0,1.0,0.0,,,,
39073134,0.0,9.0,1.0,8.0,9.0,26.0,2019-05-30,2019-05-31
438753047,,,,,1.0,0.0,2019-05-25,2019-05-25
78811171,1.0,18.0,0.0,16.0,2.0,17.0,2019-05-12,2019-05-31
234903983,,,3.0,0.0,2.0,0.0,2019-05-03,2019-05-03
250748097,12.0,0.0,6.0,0.0,9.0,0.0,2019-05-30,2019-05-30
96228390,0.0,9.0,0.0,7.0,0.0,14.0,2019-05-29,2019-05-29
394126559,1.0,0.0,11.0,0.0,11.0,0.0,2019-05-28,2019-05-28
208589941,4.0,13.0,0.0,14.0,2.0,12.0,2019-05-29,2019-05-31
98835083,0.0,12.0,3.0,11.0,10.0,16.0,2019-05-29,2019-05-30
172976277,0.0,6.0,0.0,4.0,0.0,3.0,2019-05-31,2019-05-31
179600222,11.0,10.0,3.0,2.0,5.0,5.0,2019-05-31,2019-05-26
59177200,0.0,13.0,0.0,23.0,0.0,19.0,2019-05-30,2019-05-30
89455839,9.0,19.0,13.0,22.0,15.0,12.0,2019-05-30,2019-05-14
242546643,,,2.0,0.0,3.0,0.0,2019-05-05,2019-05-05
288680685,,,1.0,0.0,5.0,0.0,2019-05-22,2019-05-22
318057510,0.0,15.0,0.0,22.0,0.0,19.0,2019-05-28,2019-05-28
171682441,2.0,4.0,4.0,4.0,1.0,3.0,2019-05-02,2019-05-13
64865169,6.0,28.0,6.0,27.0,3.0,30.0,2019-05-25,2019-05-31
402632333,6.0,3.0,5.0,3.0,14.0,4.0,2019-05-31,2019-05-24
388619631,,,,,1.0,0.0,2019-05-31,2019-05-31
257126481,8.0,21.0,20.0,23.0,18.0,21.0,2019-05-30,2019-05-31
429857773,,,2.0,0.0,,,,
220202370,1.0,19.0,13.0,19.0,21.0,18.0,2019-05-31,2019-05-28
177771041,0.0,14.0,0.0,15.0,0.0,21.0,2019-05-31,2019-05-31
177378876,,,,,,,,
309303661,3.0,0.0,9.0,0.0,17.0,0.0,2019-05-31,2019-05-31
211082161,7.0,21.0,5.0,8.0,6.0,11.0,2019-05-28,2019-05-30
168172915,17.0,0.0,14.0,0.0,5.0,0.0,2019-05-17,2019-05-17
38691456,11.0,27.0,9.0,27.0,12.0,18.0,2019-05-31,2019-05-31
289652233,4.0,24.0,12.0,24.0,4.0,19.0,2019-05-14,2019-05-31
396871797,,,,,,,,
64075804,3.0,22.0,2.0,18.0,3.0,12.0,2019-05-29,2019-05-31
443492046,,,,,,,,
54861259,1.0,0.0,3.0,0.0,4.0,0.0,2019-05-22,2019-05-22
332741036,0.0,4.0,7.0,9.0,8.0,10.0,2019-05-23,2019-05-28
374212565,4.0,21.0,2.0,7.0,2.0,16.0,2019-05-04,2019-05-30
442690592,,,,,,,,
181252273,20.0,5.0,19.0,9.0,21.0,7.0,2019-05-31,2019-05-27
35684210,0.0,9.0,0.0,19.0,0.0,8.0,2019-05-31,2019-05-31
160604765,2.0,15.0,1.0,25.0,5.0,25.0,2019-05-27,2019-05-28
70165966,2.0,15.0,0.0,13.0,3.0,15.0,2019-05-23,2019-05-30
322623284,8.0,7.0,4.0,10.0,3.0,11.0,2019-05-27,2019-05-25
225798949,2.0,3.0,9.0,4.0,29.0,9.0,2019-05-31,2019-05-19
169930658,,,,,2.0,0.0,2019-05-19,2019-05-19
436631249,,,,,10.0,0.0,2019-05-30,2019-05-30
196072310,0.0,16.0,2.0,12.0,6.0,22.0,2019-05-12,2019-05-31
444613886,,,,,,,,
404388264,,,1.0,0.0,,,,
158091090,0.0,14.0,0.0,7.0,0.0,3.0,2019-05-17,2019-05-17
92584494,,,,,,,,
232867268,23.0,6.0,9.0,3.0,13.0,9.0,2019-05-31,2019-05-26
13143427,5.0,15.0,0.0,13.0,0.0,22.0,2019-05-30,2019-05-30
128425690,0.0,18.0,10.0,25.0,6.0,16.0,2019-05-29,2019-05-31
357595506,5.0,0.0,7.0,0.0,3.0,4.0,2019-05-26,2019-05-30
169073392,0.0,15.0,0.0,19.0,3.0,22.0,2019-05-30,2019-05-31
170626303,1.0,7.0,,,1.0,4.0,2019-05-20,2019-05-24
286687161,6.0,3.0,4.0,7.0,6.0,3.0,2019-05-26,2019-05-29
56110802,6.0,12.0,10.0,14.0,11.0,9.0,2019-05-31,2019-05-31
154824015,,,1.0,3.0,,,,
404365707,28.0,0.0,10.0,0.0,15.0,0.0,2019-05-29,2019-05-29
146199628,1.0,0.0,,,4.0,1.0,2019-05-24,2019-05-10
327502193,,,,,,,,
134509237,,,0.0,1.0,0.0,1.0,2019-05-18,2019-05-18
419871078,1.0,0.0,9.0,1.0,2.0,0.0,2019-05-30,2019-05-30
128467346,,,,,1.0,0.0,2019-05-31,2019-05-31
314438606,16.0,12.0,11.0,7.0,13.0,8.0,2019-05-31,2019-05-31
357185798,13.0,6.0,6.0,3.0,,,,
76949799,15.0,29.0,13.0,27.0,14.0,31.0,2019-05-27,2019-05-31
444580421,,,,,,,,
128303546,11.0,0.0,8.0,0.0,15.0,4.0,2019-05-31,2019-05-31
378171688,5.0,0.0,3.0,0.0,,,,
384664242,,,1.0,0.0,2.0,14.0,2019-05-30,2019-05-31
216311888,8.0,17.0,6.0,13.0,4.0,17.0,2019-05-28,2019-05-30
162994472,17.0,0.0,9.0,0.0,20.0,1.0,2019-05-29,2019-05-04
390445366,2.0,0.0,,,1.0,0.0,2019-05-01,2019-05-01
72470827,0.0,16.0,0.0,8.0,0.0,9.0,2019-05-28,2019-05-28
380032391,1.0,3.0,5.0,6.0,2.0,1.0,2019-05-18,2019-05-07
4499982,5.0,10.0,5.0,5.0,4.0,14.0,2019-05-31,2019-05-31
320657436,6.0,0.0,4.0,0.0,4.0,0.0,2019-05-22,2019-05-22
121860675,2.0,17.0,0.0,19.0,4.0,28.0,2019-05-31,2019-05-30
74834918,0.0,15.0,0.0,21.0,2.0,18.0,2019-05-22,2019-05-30
46539072,18.0,31.0,20.0,30.0,22.0,31.0,2019-05-31,2019-05-31
57685764,,,,,3.0,0.0,2019-05-22,2019-05-22
18005534,11.0,30.0,16.0,25.0,17.0,25.0,2019-05-31,2019-05-31
304378169,5.0,0.0,3.0,1.0,3.0,2.0,2019-05-28,2019-05-02
59499043,0.0,10.0,0.0,17.0,1.0,11.0,2019-05-31,2019-05-31
409044247,5.0,0.0,7.0,0.0,3.0,0.0,2019-05-30,2019-05-30
126265072,0.0,13.0,0.0,10.0,0.0,20.0,2019-05-30,2019-05-30
60675251,0.0,6.0,0.0,5.0,0.0,11.0,2019-05-29,2019-05-29
58673378,9.0,26.0,2.0,17.0,2.0,17.0,2019-05-28,2019-05-31
397957901,,,17.0,0.0,21.0,0.0,2019-05-31,2019-05-31
278047502,,,,,4.0,0.0,2019-05-28,2019-05-28
411932800,2.0,0.0,,,28.0,11.0,2019-05-31,2019-05-29
177397416,3.0,0.0,,,2.0,0.0,2019-05-28,2019-05-28
397299186,4.0,0.0,4.0,0.0,2.0,0.0,2019-05-22,2019-05-22
28763172,8.0,13.0,7.0,5.0,8.0,10.0,2019-05-24,2019-05-27
146550224,0.0,21.0,0.0,20.0,0.0,20.0,2019-05-30,2019-05-30
42420094,29.0,0.0,27.0,0.0,23.0,0.0,2019-05-31,2019-05-31
413099925,23.0,12.0,30.0,6.0,31.0,2.0,2019-05-31,2019-05-28
408030263,1.0,0.0,2.0,0.0,,,,
165134758,3.0,2.0,3.0,3.0,4.0,14.0,2019-05-28,2019-05-31
97357,0.0,2.0,0.0,3.0,0.0,3.0,2019-05-25,2019-05-25
201120544,1.0,0.0,2.0,0.0,2.0,0.0,2019-05-21,2019-05-21
24795359,0.0,5.0,0.0,9.0,,,,
276092010,3.0,0.0,1.0,0.0,1.0,2.0,2019-05-01,2019-05-30
245344693,,,,,,,,
57012328,22.0,28.0,18.0,22.0,14.0,27.0,2019-05-31,2019-05-31
128732602,,,,,,,,
95993369,,,,,,,,
416961280,9.0,0.0,12.0,0.0,1.0,0.0,2019-05-11,2019-05-11
24935978,0.0,8.0,3.0,7.0,0.0,5.0,2019-05-23,2019-05-23
113723007,,,5.0,3.0,5.0,2.0,2019-05-24,2019-05-10
94238305,3.0,14.0,3.0,8.0,4.0,15.0,2019-05-24,2019-05-31
11950786,3.0,23.0,4.0,17.0,8.0,12.0,2019-05-31,2019-05-29
321400230,9.0,30.0,17.0,30.0,26.0,30.0,2019-05-31,2019-05-31
213863699,0.0,22.0,0.0,10.0,0.0,17.0,2019-05-23,2019-05-23
