CITY,CUS_CUST_ID_BUY,GENDER,RANGO_EDAD,TARJETAS,ESTADO
capitan sarmiento,140107535,male,03.Entre 26 y 30 años,Credit Card,buenos aires
barracas,444286946,male,03.Entre 26 y 30 años,Debit Card,capital federal
caba,7115581,male,05.Entre 36 y 40 años,Credit Card,capital federal
olivos,262452781,female,04.Entre 31 y 35 años,Account Money,buenos aires
olivos,38960544,male,04.Entre 31 y 35 años,Credit Card,capital federal
hurlingham,153352690,male,02.Entre 18 y 25 años,Account Money,buenos aires
,139017568,male,02.Entre 18 y 25 años,Debit Card,buenos aires
,78647568,female,07.Entre 56 y 65 años,Debit Card,buenos aires
,138035631,male,02.Entre 18 y 25 años,Debit Card,buenos aires
belen de escobar,146799799,female,06.Entre 41 y 55 años,Credit Card,buenos aires
bella vista,179441434,Unknown,00. Sin Dato,Account Money,buenos aires
caseros,19393868,male,06.Entre 41 y 55 años,Account Money,buenos aires
,48654031,male,03.Entre 26 y 30 años,Account Money,santa cruz
san fernando,255507144,male,04.Entre 31 y 35 años,Account Money,buenos aires
villa urquiza,57631234,male,04.Entre 31 y 35 años,Credit Card,capital federal
lomas de zamora,152983981,male,04.Entre 31 y 35 años,Credit Card,buenos aires
moreno,58662597,male,06.Entre 41 y 55 años,Credit Card,buenos aires
mar del plata,195876417,male,06.Entre 41 y 55 años,Account Money,buenos aires
belgrano r,3477110,female,00. Sin Dato,Credit Card,capital federal
berazategui,53357719,male,04.Entre 31 y 35 años,Credit Card,buenos aires
rosario de la frontera,179601596,female,06.Entre 41 y 55 años,Debit Card,salta
san antonio de padua,27059318,male,03.Entre 26 y 30 años,Credit Card,buenos aires
campana,698073,female,04.Entre 31 y 35 años,Debit Card,buenos aires
chacarita,235298532,male,04.Entre 31 y 35 años,Credit Card,capital federal
caba,170693519,female,03.Entre 26 y 30 años,Credit Card,buenos aires
berazategui,126567127,male,05.Entre 36 y 40 años,Credit Card,buenos aires
san francisco solano,127421284,male,04.Entre 31 y 35 años,Credit Card,capital federal
rosario,298763231,female,02.Entre 18 y 25 años,Debit Card,santa fe
los polvorines,160415722,female,03.Entre 26 y 30 años,Account Money,buenos aires
moron,425963286,female,05.Entre 36 y 40 años,Account Money,buenos aires
capital federal,187075709,male,06.Entre 41 y 55 años,Debit Card,capital federal
olavarria,148835485,female,06.Entre 41 y 55 años,Debit Card,buenos aires
burzaco,264747075,male,06.Entre 41 y 55 años,Credit Card,buenos aires
jose c paz,282374353,male,05.Entre 36 y 40 años,Debit Card,buenos aires
san justo,153379238,male,03.Entre 26 y 30 años,Debit Card,buenos aires
"avellaneda, sarandi",391245179,female,03.Entre 26 y 30 años,Credit Card,buenos aires
ramosmejia,439106601,male,00. Sin Dato,Account Money,buenos aires
ciudad auton bs as,95623776,female,04.Entre 31 y 35 años,Credit Card,capital federal
puerto madero,96869764,male,06.Entre 41 y 55 años,Debit Card,capital federal
ciudad autonoma de buenos aires,69530702,male,05.Entre 36 y 40 años,Credit Card,capital federal
benavidez,279175450,male,02.Entre 18 y 25 años,Debit Card,buenos aires
belgrano,103641333,female,05.Entre 36 y 40 años,Credit Card,capital federal
buenos aires,24113849,female,06.Entre 41 y 55 años,Credit Card,capital federal
microcentro,43738048,male,04.Entre 31 y 35 años,Credit Card,buenos aires
villa udaondo,58108856,male,04.Entre 31 y 35 años,Credit Card,buenos aires
concepcion del uruguay,57153637,male,00. Sin Dato,Credit Card,entre rios
capital federal,6587023,female,06.Entre 41 y 55 años,Credit Card,capital federal
virreyes,6533858,male,05.Entre 36 y 40 años,Credit Card,buenos aires
temperley,47596465,male,02.Entre 18 y 25 años,Ticket,buenos aires
villa elisa,20663512,female,06.Entre 41 y 55 años,Credit Card,capital federal
caba,131508156,male,04.Entre 31 y 35 años,Credit Card,capital federal
caba,153951173,male,02.Entre 18 y 25 años,Credit Card,buenos aires
la plata,73131512,male,04.Entre 31 y 35 años,Credit Card,buenos aires
jose clemente paz,134382888,male,05.Entre 36 y 40 años,Credit Card,buenos aires
temperley,82872271,female,05.Entre 36 y 40 años,Debit Card,capital federal
balcarce,151725124,female,06.Entre 41 y 55 años,Debit Card,buenos aires
,113324094,female,06.Entre 41 y 55 años,Account Money,buenos aires
parque avellaneda,72910502,male,03.Entre 26 y 30 años,Credit Card,capital federal
caba,9420948,male,06.Entre 41 y 55 años,Credit Card,capital federal
cordoba,183726476,female,00. Sin Dato,Credit Card,cordoba
puerto madero,245441198,female,03.Entre 26 y 30 años,Credit Card,capital federal
la plata,4303106,female,05.Entre 36 y 40 años,Credit Card,capital federal
salta,91641945,male,04.Entre 31 y 35 años,Credit Card,salta
"rafael castillo, barrio abadia",186079151,female,02.Entre 18 y 25 años,Ticket,buenos aires
obera,359788253,female,04.Entre 31 y 35 años,Account Money,misiones
la matanza,279834863,male,02.Entre 18 y 25 años,Debit Card,buenos aires
caba,50531050,male,05.Entre 36 y 40 años,Credit Card,capital federal
adrogue,256658451,female,02.Entre 18 y 25 años,Credit Card,buenos aires
lugano,277664816,female,04.Entre 31 y 35 años,Credit Card,buenos aires
mar del plata,237622501,male,03.Entre 26 y 30 años,Debit Card,buenos aires
salta,149771906,female,00. Sin Dato,Credit Card,salta
caba,68689700,male,06.Entre 41 y 55 años,Credit Card,capital federal
c.a.b.a.,94376013,male,06.Entre 41 y 55 años,Credit Card,capital federal
,138208986,female,03.Entre 26 y 30 años,Debit Card,santa fe
quilmes,139809060,male,05.Entre 36 y 40 años,Credit Card,buenos aires
lomas del mirador,19645426,male,04.Entre 31 y 35 años,Credit Card,buenos aires
burzaco,210645767,female,00. Sin Dato,Account Money,buenos aires
gonzalez catan,170685569,female,06.Entre 41 y 55 años,Debit Card,buenos aires
caba,356740458,female,06.Entre 41 y 55 años,Credit Card,capital federal
couglan,325009201,male,00. Sin Dato,Debit Card,capital federal
rosario,247304246,male,00. Sin Dato,Account Money,santa fe
cañuelas,54127429,male,06.Entre 41 y 55 años,Credit Card,buenos aires
villa paranacito,26612694,male,06.Entre 41 y 55 años,Credit Card,entre rios
bahia blanca,278061499,female,06.Entre 41 y 55 años,Credit Card,buenos aires
jose clemente paz,388188162,female,02.Entre 18 y 25 años,Debit Card,buenos aires
san nicolas,8474377,male,06.Entre 41 y 55 años,Credit Card,capital federal
coghlan,203137640,male,02.Entre 18 y 25 años,Debit Card,capital federal
ezeiza,230945628,female,05.Entre 36 y 40 años,Account Money,buenos aires
olavarria,317824099,female,02.Entre 18 y 25 años,Account Money,buenos aires
ciudad de buenos aires,44614694,male,06.Entre 41 y 55 años,Credit Card,capital federal
quilmes,143797964,male,02.Entre 18 y 25 años,Account Money,buenos aires
parque chacabuco,63721896,female,03.Entre 26 y 30 años,Credit Card,capital federal
capital federal,17229285,female,05.Entre 36 y 40 años,Credit Card,capital federal
centro,416005494,male,02.Entre 18 y 25 años,Account Money,salta
"curaru,buenosaires",200640280,female,06.Entre 41 y 55 años,Debit Card,buenos aires
villa mitre,266708802,male,04.Entre 31 y 35 años,Debit Card,capital federal
palermo,27747060,female,06.Entre 41 y 55 años,Debit Card,capital federal
ranelagh,387069321,female,02.Entre 18 y 25 años,Account Money,buenos aires
,15089542,Unknown,05.Entre 36 y 40 años,Credit Card,buenos aires
villa martelli,430468800,male,02.Entre 18 y 25 años,Debit Card,buenos aires
villa general belgrano,155243735,female,05.Entre 36 y 40 años,Debit Card,cordoba
belen,305328659,male,07.Entre 56 y 65 años,Credit Card,cordoba
mar del plata,379287086,male,00. Sin Dato,Account Money,buenos aires
parque patricios,362450730,female,00. Sin Dato,Credit Card,capital federal
lomas de zamora ing. budge,211176647,male,08.Mayor de 65 años,Debit Card,buenos aires
villa ballester,232844505,male,04.Entre 31 y 35 años,Debit Card,buenos aires
las heras,233149590,male,02.Entre 18 y 25 años,Credit Card,santa cruz
paso del rey,352625200,female,02.Entre 18 y 25 años,Account Money,buenos aires
villa santa rosa,211015839,female,05.Entre 36 y 40 años,Credit Card,cordoba
berazategui,76533376,female,06.Entre 41 y 55 años,Debit Card,buenos aires
capital federal  belgrano,15414977,female,04.Entre 31 y 35 años,Debit Card,capital federal
florencio varela,221550351,male,04.Entre 31 y 35 años,Account Money,buenos aires
,62450235,male,03.Entre 26 y 30 años,Credit Card,buenos aires
san salvador de jujuy,192721419,male,04.Entre 31 y 35 años,Debit Card,jujuy
berazategui,197649028,male,03.Entre 26 y 30 años,Credit Card,buenos aires
buenos aires,415437519,female,03.Entre 26 y 30 años,Account Money,buenos aires
city bell,47214750,female,06.Entre 41 y 55 años,Debit Card,buenos aires
pilar,250425802,male,02.Entre 18 y 25 años,Account Money,buenos aires
nuñez,294382656,female,02.Entre 18 y 25 años,Credit Card,capital federal
san nicolas,211471763,male,00. Sin Dato,Account Money,capital federal
san isidro,292890126,male,06.Entre 41 y 55 años,Credit Card,buenos aires
capital federal,165694986,male,04.Entre 31 y 35 años,Credit Card,capital federal
san martin de los andes,178720946,male,02.Entre 18 y 25 años,Account Money,neuquen
caba,189382645,female,02.Entre 18 y 25 años,Account Money,buenos aires
luis guillon,160566517,male,04.Entre 31 y 35 años,Credit Card,buenos aires
neuquen capital,162135330,male,04.Entre 31 y 35 años,Debit Card,neuquen
caseros,5875015,male,06.Entre 41 y 55 años,Credit Card,buenos aires
capital federal,56437614,male,03.Entre 26 y 30 años,Credit Card,capital federal
caba,202611263,female,03.Entre 26 y 30 años,Debit Card,capital federal
burzaco,107959693,male,00. Sin Dato,Credit Card,buenos aires
san andres,390217387,male,03.Entre 26 y 30 años,Debit Card,buenos aires
general pacheco,243771706,female,07.Entre 56 y 65 años,Credit Card,buenos aires
ciudad de bueno aires - villa devoto,229523454,female,02.Entre 18 y 25 años,Debit Card,capital federal
corrientes,120859913,male,03.Entre 26 y 30 años,Account Money,corrientes
parana,348084528,female,00. Sin Dato,Credit Card,são paulo
caba,81564678,female,04.Entre 31 y 35 años,Credit Card,capital federal
lomas de zamora,162435277,female,05.Entre 36 y 40 años,Credit Card,buenos aires
domselaar,279359510,male,00. Sin Dato,Credit Card,buenos aires
mar del plata,47450400,male,07.Entre 56 y 65 años,Debit Card,buenos aires
godoy cruz,100007165,female,06.Entre 41 y 55 años,Account Money,mendoza
corodoba,163824764,female,06.Entre 41 y 55 años,Debit Card,cordoba
"ramos mejia, bs as",61009446,female,04.Entre 31 y 35 años,Credit Card,cordoba
mendoza,281223635,female,07.Entre 56 y 65 años,Credit Card,mendoza
moreno,431332621,male,03.Entre 26 y 30 años,Debit Card,buenos aires
santa fe,133344854,female,02.Entre 18 y 25 años,Debit Card,santa fe
cordoba,148109186,female,06.Entre 41 y 55 años,Account Money,cordoba
capital federal,44166072,Unknown,06.Entre 41 y 55 años,Credit Card,buenos aires
lanus,204040472,male,04.Entre 31 y 35 años,Debit Card,buenos aires
caba,383642741,male,00. Sin Dato,Debit Card,santa fe
san clemente del tuyu,99244217,male,07.Entre 56 y 65 años,Account Money,buenos aires
loberia,321257102,female,04.Entre 31 y 35 años,Account Money,buenos aires
laferrere,233250326,male,02.Entre 18 y 25 años,Credit Card,buenos aires
la plata,28049348,male,05.Entre 36 y 40 años,Credit Card,buenos aires
san miguel de tucuman,328397748,female,04.Entre 31 y 35 años,Account Money,tucuman
,143133802,female,04.Entre 31 y 35 años,Credit Card,buenos aires
,33518508,Unknown,00. Sin Dato,Credit Card,rio negro
laferrere,201576026,male,07.Entre 56 y 65 años,Credit Card,buenos aires
san isidro,166505549,female,00. Sin Dato,Credit Card,buenos aires
bahia blanca,261008564,male,02.Entre 18 y 25 años,Account Money,buenos aires
buenos aires,138792396,female,02.Entre 18 y 25 años,Debit Card,buenos aires
san nicolas,300267112,female,03.Entre 26 y 30 años,Debit Card,buenos aires
vicente lopez,64063012,female,03.Entre 26 y 30 años,Debit Card,buenos aires
caba,29028120,female,04.Entre 31 y 35 años,Credit Card,capital federal
san fernando,127547714,female,03.Entre 26 y 30 años,Debit Card,buenos aires
capital federal,99193485,male,03.Entre 26 y 30 años,Debit Card,capital federal
moreno,110695107,male,02.Entre 18 y 25 años,Account Money,buenos aires
tres arroyos,85790519,male,00. Sin Dato,Credit Card,capital federal
pico truncado,275291091,female,05.Entre 36 y 40 años,Debit Card,santa cruz
caseros,355229595,male,00. Sin Dato,Debit Card,capital federal
flores,261506021,male,06.Entre 41 y 55 años,Credit Card,capital federal
pozo del tigre,256803845,female,04.Entre 31 y 35 años,Credit Card,formosa
balvanera,203522945,male,02.Entre 18 y 25 años,Ticket,capital federal
capital federal,445385685,female,03.Entre 26 y 30 años,Credit Card,salta
moron,48913888,Unknown,05.Entre 36 y 40 años,Debit Card,buenos aires
buenos aires,149253544,male,00. Sin Dato,Account Money,capital federal
recoleta,207823605,female,04.Entre 31 y 35 años,Credit Card,buenos aires
timbues,131842992,female,06.Entre 41 y 55 años,Ticket,santa fe
caba,76985140,male,06.Entre 41 y 55 años,Credit Card,capital federal
rosario,94413270,Unknown,06.Entre 41 y 55 años,Credit Card,santa fe
villa crespo,366861016,male,03.Entre 26 y 30 años,Account Money,capital federal
,158682118,male,03.Entre 26 y 30 años,Credit Card,neuquen
caba,73110281,female,06.Entre 41 y 55 años,Debit Card,capital federal
pilar,120957549,male,05.Entre 36 y 40 años,Debit Card,buenos aires
libertad,144673451,Unknown,02.Entre 18 y 25 años,Debit Card,buenos aires
resistencia,118841235,male,06.Entre 41 y 55 años,Credit Card,chaco
venado tuerto,292047372,female,02.Entre 18 y 25 años,Credit Card,santa fe
monte grande,13480027,female,02.Entre 18 y 25 años,Credit Card,buenos aires
termas de rio hondo,155714867,male,02.Entre 18 y 25 años,Credit Card,santiago del estero
haedo,130274196,female,06.Entre 41 y 55 años,Credit Card,tierra del fuego
resistencia,309888007,male,05.Entre 36 y 40 años,Credit Card,chaco
san vicente,348178126,male,05.Entre 36 y 40 años,Debit Card,buenos aires
ezeiza,175287741,female,03.Entre 26 y 30 años,Debit Card,buenos aires
villa lugano,177431606,male,00. Sin Dato,Account Money,capital federal
pergamino,109730771,female,03.Entre 26 y 30 años,Ticket,buenos aires
microcentro,98034489,female,05.Entre 36 y 40 años,Credit Card,buenos aires
caba,34039888,male,06.Entre 41 y 55 años,Credit Card,capital federal
buenos aires,58027900,male,04.Entre 31 y 35 años,Credit Card,buenos aires
san miguel de tucuman,270765982,female,04.Entre 31 y 35 años,Debit Card,tucuman
munro,46210713,Unknown,00. Sin Dato,Account Money,buenos aires
microcentro,59366998,male,03.Entre 26 y 30 años,Debit Card,capital federal
palermo,48456477,female,05.Entre 36 y 40 años,Credit Card,capital federal
san genaro,157681812,female,06.Entre 41 y 55 años,Credit Card,santa fe
la matanza,17147839,male,05.Entre 36 y 40 años,Debit Card,buenos aires
san luis,162026804,male,03.Entre 26 y 30 años,Account Money,san luis
palermo,103686540,female,03.Entre 26 y 30 años,Credit Card,capital federal
alvear,352915357,female,03.Entre 26 y 30 años,Account Money,corrientes
san francisco,157888384,female,02.Entre 18 y 25 años,Credit Card,cordoba
balvanera,173233255,male,03.Entre 26 y 30 años,Credit Card,buenos aires
quilmes,49200966,female,02.Entre 18 y 25 años,Account Money,buenos aires
capital federal,36462818,female,06.Entre 41 y 55 años,Credit Card,capital federal
chascomus,244004729,male,03.Entre 26 y 30 años,Account Money,buenos aires
ciudad autonoma de buenos aires,278561513,male,00. Sin Dato,Account Money,capital federal
rio gallegos,264407145,male,05.Entre 36 y 40 años,Debit Card,santa cruz
capital federal,87157061,male,06.Entre 41 y 55 años,Credit Card,capital federal
la matanza,89534130,male,07.Entre 56 y 65 años,Debit Card,buenos aires
ituzaingo,303950388,male,03.Entre 26 y 30 años,Debit Card,capital federal
buenos aires,127289268,female,06.Entre 41 y 55 años,Credit Card,capital federal
abasto,36813497,male,07.Entre 56 y 65 años,Credit Card,capital federal
puerto rico,308481497,male,05.Entre 36 y 40 años,Account Money,misiones
mar del plata,183667605,female,04.Entre 31 y 35 años,Credit Card,buenos aires
capital federal,120899742,male,05.Entre 36 y 40 años,Debit Card,buenos aires
maipu,209308154,female,03.Entre 26 y 30 años,Credit Card,capital federal
"general pacheco ,barrio las tunas",318293521,male,02.Entre 18 y 25 años,Credit Card,buenos aires
balcarce,138078699,female,03.Entre 26 y 30 años,Ticket,buenos aires
bernal este,38311180,male,07.Entre 56 y 65 años,Credit Card,buenos aires
longchamps,198288741,male,03.Entre 26 y 30 años,Account Money,buenos aires
lanus - valentin alsina,15404941,male,04.Entre 31 y 35 años,Credit Card,capital federal
san martin,299861253,female,03.Entre 26 y 30 años,Credit Card,buenos aires
,169291676,female,06.Entre 41 y 55 años,Credit Card,capital federal
caba,303476213,female,06.Entre 41 y 55 años,Account Money,capital federal
la plata,77736908,male,04.Entre 31 y 35 años,Debit Card,buenos aires
cutral co,59009894,male,04.Entre 31 y 35 años,Debit Card,neuquen
buenos aires,190413236,male,03.Entre 26 y 30 años,Credit Card,buenos aires
9 de julio,223327919,male,08.Mayor de 65 años,Credit Card,buenos aires
capital federal,11285712,male,05.Entre 36 y 40 años,Credit Card,capital federal
lanus oeste,37959178,male,04.Entre 31 y 35 años,Debit Card,buenos aires
villa soldati,126980576,male,05.Entre 36 y 40 años,Debit Card,buenos aires
moron,321313693,female,03.Entre 26 y 30 años,Credit Card,buenos aires
concepcion del uruguay,416500425,female,06.Entre 41 y 55 años,Debit Card,entre rios
esperanza,271035213,male,04.Entre 31 y 35 años,Account Money,entre rios
comodoro rivadavia,62224659,female,03.Entre 26 y 30 años,Account Money,chubut
san isidro,141397508,female,07.Entre 56 y 65 años,Credit Card,buenos aires
la plata,212865896,male,04.Entre 31 y 35 años,Credit Card,buenos aires
hurlingham,129205233,male,04.Entre 31 y 35 años,Credit Card,buenos aires
general alvear,70053329,female,06.Entre 41 y 55 años,Account Money,mendoza
berazategui,134136268,male,03.Entre 26 y 30 años,Debit Card,buenos aires
villademayo,22817840,male,06.Entre 41 y 55 años,Account Money,san luis
caba,115185432,female,05.Entre 36 y 40 años,Credit Card,capital federal
trbunles,30707129,male,03.Entre 26 y 30 años,Debit Card,capital federal
el bolson,159172136,female,06.Entre 41 y 55 años,Credit Card,rio negro
obera,361801997,female,00. Sin Dato,Account Money,misiones
bamfield,145012874,male,04.Entre 31 y 35 años,Credit Card,buenos aires
capital federal,89544019,female,06.Entre 41 y 55 años,Credit Card,capital federal
avellaneda,244343721,female,03.Entre 26 y 30 años,Credit Card,buenos aires
cordoba,358542919,male,06.Entre 41 y 55 años,Account Money,cordoba
tigre,126046237,male,03.Entre 26 y 30 años,Account Money,capital federal
caba,65985934,female,06.Entre 41 y 55 años,Debit Card,capital federal
,41691167,male,05.Entre 36 y 40 años,Debit Card,capital federal
parque patricios,95981124,male,04.Entre 31 y 35 años,Credit Card,capital federal
catriel,283365241,female,06.Entre 41 y 55 años,Debit Card,rio negro
adolfo alsina,287335383,female,02.Entre 18 y 25 años,Credit Card,buenos aires
cordoba,400646471,male,02.Entre 18 y 25 años,Account Money,cordoba
moreno,7710638,male,03.Entre 26 y 30 años,Credit Card,buenos aires
palermo,262475783,Unknown,00. Sin Dato,Account Money,buenos aires
del viso,248374822,Unknown,00. Sin Dato,Account Money,buenos aires
recoleta,81969275,male,04.Entre 31 y 35 años,Credit Card,capital federal
quilmes,118509236,male,06.Entre 41 y 55 años,Credit Card,buenos aires
rosario,333502666,female,03.Entre 26 y 30 años,Debit Card,entre rios
ezeiza,210881131,Unknown,03.Entre 26 y 30 años,Debit Card,buenos aires
cordoba,180267001,male,03.Entre 26 y 30 años,Account Money,cordoba
san miguel de tucuman,237054032,female,02.Entre 18 y 25 años,Account Money,tucuman
plaza italia,58465691,male,00. Sin Dato,Credit Card,capital federal
city bell,57736170,male,04.Entre 31 y 35 años,Account Money,buenos aires
la banda,163340271,male,04.Entre 31 y 35 años,Credit Card,santiago del estero
san salvador de jujuy,376883671,female,07.Entre 56 y 65 años,Account Money,jujuy
,59156125,female,03.Entre 26 y 30 años,Debit Card,capital federal
puebl esther,341128964,female,05.Entre 36 y 40 años,Account Money,santa fe
avellaneda piñeryro,89283022,female,06.Entre 41 y 55 años,Credit Card,capital federal
la colorada,302897937,male,02.Entre 18 y 25 años,Debit Card,buenos aires
puerto madryn,228102096,female,02.Entre 18 y 25 años,Credit Card,capital federal
"la matanza, ramos mejia",52660496,female,04.Entre 31 y 35 años,Credit Card,buenos aires
caba,432642561,male,04.Entre 31 y 35 años,Debit Card,capital federal
caleta olivia,198037902,female,06.Entre 41 y 55 años,Account Money,santa cruz
san nicolas,4054385,male,06.Entre 41 y 55 años,Credit Card,capital federal
caba,255672545,female,02.Entre 18 y 25 años,Account Money,capital federal
concordia,376923151,Unknown,06.Entre 41 y 55 años,Account Money,entre rios
villa crespo,59435226,female,06.Entre 41 y 55 años,Debit Card,capital federal
ituzaingo,243008478,male,02.Entre 18 y 25 años,Debit Card,buenos aires
rosario,78624465,male,05.Entre 36 y 40 años,Account Money,santa fe
berazategui,122542575,female,04.Entre 31 y 35 años,Credit Card,buenos aires
coghland,217265559,male,07.Entre 56 y 65 años,Credit Card,capital federal
jose clemente paz,233140946,female,07.Entre 56 y 65 años,Credit Card,buenos aires
caba,96552506,female,08.Mayor de 65 años,Debit Card,buenos aires
caba,3672567,male,03.Entre 26 y 30 años,Debit Card,capital federal
comodoro rivadavia,251080828,female,02.Entre 18 y 25 años,Credit Card,chubut
